[26-Mar-2023 13:08:18 UTC] PHP Warning:  dns_get_record(): DNS Query failed in C:\dolibarr\www\dolibarr\htdocs\admin\mails.php on line 867
[28-Mar-2023 10:42:55 UTC] PHP Warning:  dns_get_record(): DNS Query failed in C:\dolibarr\www\dolibarr\htdocs\admin\mails.php on line 867
[29-Mar-2023 15:02:29 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[30-Mar-2023 11:45:11 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[30-Mar-2023 11:53:25 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[30-Mar-2023 12:04:50 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[30-Mar-2023 12:20:50 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/TK2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[30-Mar-2023 12:20:50 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/TK2303-0002) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[30-Mar-2023 12:20:50 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/TK2303-0003) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[30-Mar-2023 13:30:14 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[30-Mar-2023 13:33:27 UTC] PHP Warning:  A non-numeric value encountered in C:\dolibarr\www\dolibarr\htdocs\projet\tasks\time.php on line 1518
[30-Mar-2023 14:17:50 UTC] PHP Fatal error:  Class TaskStats contains 2 abstract methods and must therefore be declared abstract or implement the remaining methods (Stats::getAmountByMonth, Stats::getAverageByMonth) in C:\dolibarr\www\dolibarr\htdocs\projet\class\taskstats.class.php on line 25
[31-Mar-2023 13:13:20 UTC] PHP Warning:  dns_get_record(): DNS Query failed in C:\dolibarr\www\dolibarr\htdocs\admin\mails.php on line 867
